name,first_name_count,middle_name_count,sex
דוד,90557,37681,m
יוסף,83090,33602,m
משה,79034,31286,m
אברהם,71590,22834,m
יעקב,66878,25450,m
יצחק,60253,33149,m
דניאל,56771,5837,m
מיכאל,51336,8995,m
חיים,44824,41077,m
אורי,44157,2806,m
שלמה,40922,18004,m
ישראל,39521,21408,m
יהודה,37538,21768,m
איתי,37388,483,m
שמואל,36693,12950,m
שמעון,34362,13786,m
מאיר,33218,26472,m
אליהו,33015,13132,m
אריאל,32221,2721,m
מרדכי,31191,16760,m
נועם,29341,1099,m
יהונתן,28184,2540,m
גיא,28135,677,m
יונתן,28072,2238,m
אלכסנדר,27575,2283,m
רועי,27570,957,m
רפאל,26808,10020,m
איתן,25739,2177,m
יאיר,25639,4195,m
שי,25356,4451,m
אלון,24996,763,m
עמית,24812,421,m
ליאור,23644,1076,m
עידו,23629,319,m
בנימין,22919,8179,m
עומר,22736,264,m
יובל,22052,509,m
בן,21251,3842,m
אסף,21047,1087,m
נתנאל,20721,2977,m
תומר,19995,374,m
אור,19891,2778,m
איתמר,19843,569,m
עידן,19453,388,m
מנחם,18557,12913,m
טל,18419,951,m
צבי,17708,17683,m
שלום,17273,15827,m
יואב,16555,568,m
אריה,16501,11737,m
ניר,16124,560,m
רון,16108,978,m
נדב,15954,433,m
מתן,15755,909,m
אילן,15267,1316,m
שחר,15177,652,m
אייל,15135,592,m
אהרן,15009,4974,m
נתן,14681,5183,m
דן,14484,1309,m
אלעד,14277,489,m
אהרון,14250,8582,m
אמיר,14243,701,m
אלי,14200,3237,m
אורן,14153,548,m
מאור,13836,953,m
יניב,13693,587,m
אופיר,13423,347,m
גבריאל,13339,3978,m
הראל,12733,508,m
גל,12534,544,m
בוריס,12165,266,m
אליה,12078,1752,m
ראובן,12042,4330,m
אביב,12021,694,m
גיל,11873,889,m
אבי,11371,1803,m
אדם,11286,1013,m
ישי,11193,1570,m
אשר,11155,4823,m
נהוראי,11080,992,m
אליעזר,11031,5921,m
לביא,10562,749,m
דור,10428,518,m
רונן,10393,540,m
ערן,10338,288,m
יהושע,10305,5971,m
ברוך,10034,6011,m
ארז,9923,448,m
דורון,9802,713,m
פנחס,9777,3952,m
ירון,9772,520,m
אפרים,9680,3274,m
רן,9632,574,m
ולדימיר,9398,169,m
עופר,9390,495,m
נעם,9244,444,m
נסים,9090,2822,m
עילאי,9003,216,m
יגאל,8643,888,m
איגור,8466,97,m
אוריאל,8400,1021,m
אופק,8358,148,m
עומרי,8270,268,m
לאוניד,8121,89,m
זיו,8108,670,m
בר,8102,853,m
ליאם,8092,176,m
יואל,7973,1997,m
דביר,7843,449,m
גלעד,7827,384,m
שאול,7813,3177,m
עדי,7809,435,m
דרור,7632,548,m
יחיאל,7613,3136,m
יחזקאל,7586,3130,m
אוהד,7483,218,m
זאב,7446,8817,m
ציון,7421,10520,m
יבגני,7251,182,m
אביתר,7212,246,m
שגיא,7160,234,m
שרון,7017,498,m
אוראל,6946,374,m
יורם,6938,618,m
דמיטרי,6926,123,m
אלחנן,6871,1904,m
איל,6870,280,m
ארי,6861,949,m
ירין,6832,171,m
אדיר,6824,348,m
רוני,6821,803,m
הלל,6794,1769,m
אלעזר,6786,2451,m
עודד,6657,354,m
ינון,6614,781,m
תמיר,6557,259,m
אלירן,6536,370,m
יוסי,6513,931,m
נחמן,6436,3777,m
מרק,6417,1137,m
אבישי,6298,444,m
כפיר,6293,287,m
יורי,6225,94,m
נפתלי,6171,1940,m
יותם,6147,74,m
ברק,6140,441,m
ויקטור,6007,1597,m
אביאל,5964,478,m
ניב,5946,105,m
לירן,5945,137,m
רז,5815,386,m
חן,5727,1245,m
דב,5697,7003,m
תום,5650,149,m
עמרי,5605,116,m
ניתאי,5602,91,m
ינאי,5552,109,m
איליה,5514,71,m
אבנר,5491,808,m
רותם,5473,104,m
עמוס,5464,1380,m
אלברט,5404,1381,m
אושר,5400,626,m
עוז,5374,863,m
אלמוג,5327,137,m
עזרא,5235,2235,m
אמנון,5229,524,m
נריה,5185,758,m
שלומי,5184,805,m
חגי,5148,482,m
יהלי,5136,86,m
עמנואל,5100,1516,m
רומן,5042,112,m
רמי,4946,723,m
אביעד,4943,494,m
